Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
Stockport Air Raid Shelters,North West,Greater Manchester,Stockport,Urban,SK1 1NE,Other Historic Property,Not available,Not available,9012,9786,14860,23018,Exact,"20,001-50,000",55%,Not available,Yes,£5.00-£7.49
Saltholme Wildlife Reserve & Discovery Park,North East,North Yorkshire,Middlesborough,Urban,TS2 1TU,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,8432,37576,47679,59829,Exact,"50,001-100,000",25%,Not available,Yes,£5.00-£7.49
Haworth Art Gallery (Tiffany Glass),North West,Lancashire,Hyndburn,Urban,BB5 2JS,Museum and/or Art Gallery,Not available,Not available,7703,14629,23379,28989,Exact,"20,001-50,000",24%,Not available,No,Not Applicable
Tangmere Military Aviation Museum,South East,West Sussex,Chichester,Rural,PO20 2ES,Museum and/or Art Gallery,Not available,Not available,7444,17444,24682,30470,Exact,"20,001-50,000",23%,Not available,Yes,£10.00-£14.99
Saint Mildred's Church and Church Centre,South East,Isle of Wight,Isle of Wight,Rural,PO32,Place of Worship (still in use),Not available,Not available,7000,15000,10000,12000,An Estimate,"10,001 to 20,000",20%,Not available,No,Not Applicable
Story Museum,South East,Oxfordshire,Oxford,Urban,OX1 1BP,Museum and/or Art Gallery,Not available,Not available,6718,45974,75193,81251,Exact,"50,001-100,000",8%,Not available,Yes,£10.00-£14.99
National Army Museum,London,Greater London,Kensington and Chelsea,Urban,SW3 4HT,Museum and/or Art Gallery,Not available,Not available,5290,Not available,Not available,178410,Exact,"100,001-200,000",Not available,Not available,No,Not Applicable
Samlesbury Hall,North West,Lancashire,South Ribble,Rural,PR5 0UP,Historic House/ House and Garden / Palace,Not available,Not available,5000,15000,25000,25000,An Estimate,"20,001-50,000",0%,Not available,No,Not Applicable
Selly Manor Museum,West Midlands,West Midlands,Birmingham,Urban,B30 2AE,Museum and/or Art Gallery,Not available,Not available,4574,Not available,17543,22902,Exact,"20,001-50,000",31%,Not available,Yes,£5.00-£7.49
The Beacon Museum,North West,Cumbria,Copeland,Coastal,CA297YL,Museum and/or Art Gallery,Not available,Not available,4536,9439,18263,21936,Exact,"20,001-50,000",20%,Not available,Yes,£5.00-£7.49
Stockport Museum,North West,Greater Manchester,Stockport,Urban,SK1 1ES,Museum and/or Art Gallery,Not available,Not available,4029,4777,12854,15767,Exact,"10,001 to 20,000",23%,Not available,No,Not Applicable
Clitheroe Castle Museum,North West,Lancashire,Ribble Valley,Rural,BB7 1BA,Museum and/or Art Gallery,Not available,Not available,3712,Not available,17730,17550,An Estimate,"10,001 to 20,000",-1%,Not available,Yes,£5.00-£7.49
Dudley Canal and Tunnel Trust,West Midlands,West Midlands,Dudley,Urban,DY1 4SB,Other Historic / Scenic Transport Operator,Not available,Not available,3500,43479,60000,75000,An Estimate,"50,001-100,000",25%,Not available,Yes,£10.00-£14.99
Countryman Cider,South West,Devon,West Devon,Rural,PL19 0QR,Distillery / Vineyard or Brewery,Not available,Not available,3500,5000,4000,3000,An Estimate,"10,000 or less",-25%,Not available,No,Not Applicable
Dartmoor Prison Museum,South West,Devon,West Devon,Rural,PL20 6RR,Museum and/or Art Gallery,Not available,Not available,3260,20915,15056,27217,Exact,"20,001-50,000",81%,Not available,Yes,£3.00- £4.99
Stockport War Memorial Art Gallery,North West,Greater Manchester,Stockport,Urban,SK3 8AB,Museum and/or Art Gallery,Not available,Not available,3241,4921,4534,4562,Exact,"10,000 or less",1%,Not available,No,Not Applicable
Heaton Park Tramway,North West,Greater Manchester,Manchester,Urban,M25 2SW,Steam  / Heritage Railway,Not available,Not available,3100,12738,16102,10055,Exact,"10,001 to 20,000",-38%,Not available,Yes,Under £3.00
Fuller's Griffin Brewery Tours,London,Greater London,Hounslow,Urban,W4 2QB,Distillery / Vineyard or Brewery,Not available,Not available,3072,4159,12869,14656,Exact,"10,001 to 20,000",14%,Not available,Yes,£15 or Over
Ledbury Heritage Centre,West Midlands,Herefordshire,,Rural,HR8 1DW,Heritage / Visitor Centre,Not available,Not available,3000,9000,13320,14176,Exact,"10,001 to 20,000",6%,Not available,No,Not Applicable
The Lovell Quinta Arboretum,North West,Cheshire,Cheshire East,Rural,WA16 0PY,Garden,Not available,Not available,3000,7000,5000,5000,An Estimate,"10,000 or less",0%,Not available,Yes,Under £3.00
Avro Heritage Museum,North West,Greater Manchester,Stockport,Urban,SK7 1QS,Museum and/or Art Gallery,Not available,Not available,2180,16000,19000,20000,An Estimate,"10,001 to 20,000",5%,Not available,Yes,£7.50-£9.99
Museum of Cambridge,East of England,Cambridgeshire,Cambridge,Urban,CB3 0AQ,Museum and/or Art Gallery,Not available,Not available,2160,2044,5497,9809,Exact,"10,000 or less",78%,Not available,Yes,£5.00-£7.49
Staircase House,North West,Greater Manchester,Stockport,Urban,SK1 1ES,Museum and/or Art Gallery,Not available,Not available,2146,2598,3998,4421,Exact,"10,000 or less",11%,Not available,Yes,£5.00-£7.49
Chillingham Wild Cattle,North East,Northumberland,,Rural,NE66 5NP,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,1920,3500,4500,4600,An Estimate,"10,000 or less",2%,Not available,Yes,£7.50-£9.99
Braunton & District Museum,South West,Devon,North Devon,Rural,EX33 1AA,Museum and/or Art Gallery,Not available,Not available,1839,3857,5107,5130,Exact,"10,000 or less",0%,Not available,No,Not Applicable
Ramsgate Visitor Information Centre,South East,Kent,Thanet,Coastal,CT11 8LP,Heritage / Visitor Centre,Not available,Not available,1798,1599,4059,5556,An Estimate,"10,000 or less",37%,Not available,No,Not Applicable
Rayleigh Town Museum,East of England,Essex,Rochford,Urban,SS6 7EJ,Museum and/or Art Gallery,Not available,Not available,1500,1780,3933,4321,Exact,"10,000 or less",10%,Not available,No,Not Applicable
The Manor,East of England,Cambridgeshire,Huntingdonshire,Rural,PE28 9BN,Historic House/ House and Garden / Palace,Not available,Not available,1381,2738,3574,3767,An Estimate,"10,000 or less",5%,Not available,Yes,£10.00-£14.99
The Manchester Monastery,North West,Greater Manchester,Manchester,Urban,,Other historic property,Not available,Not available,1267,1421,Not available,30897,,"20,001-50,000",Not available,Not available,No,Not Applicable
C M Booth Collection of Historic Vehicles,South East,Kent,Ashford,Rural,TN17 4LP,Museum and/or Art Gallery,Not available,Not available,942,1206,1789,1894,Exact,"10,000 or less",6%,Not available,Yes,£5.00-£7.49
Ludlow Museum at The Buttercross,West Midlands,Shropshire,,Rural,SY8 1AW,Museum and/or Art Gallery,Not available,Not available,939,5203,6908,4988,Exact,"10,000 or less",-28%,Not available,Yes,Under £3.00
Willoughby Memorial Trust Gallery,East Midlands,Lincolnshire,South Kesteven,Rural,NG33 4NL,Museum and/or Art Gallery,Not available,Not available,770,1767,2506,2509,Exact,"10,000 or less",0%,Not available,No,Not Applicable
Bollington Discovery Centre,North West,Cheshire,Cheshire East,Rural,SK10 5RE,Heritage / Visitor Centre,Not available,Not available,750,1000,1150,980,Exact,"10,000 or less",-15%,Not available,No,Not Applicable
North West Museum of Road Transport,North West,Merseyside,St Helens,Urban,WA10 1DU,Museum and/or Art Gallery,Not available,Not available,650,4375,4522,5300,An Estimate,"10,000 or less",17%,Not available,Yes,£5.00-£7.49
Thame Museum,South East,Oxfordshire,South Oxfordshire,Rural,OX9 3AE,Museum and/or Art Gallery,Not available,Not available,492,1444,6821,5715,Exact,"10,000 or less",-16%,Not available,No,Not Applicable
Shrewsbury Flaxmill Maltings,West Midlands,Shropshire,,Urban,SY1 2SZ,Other Historic Property,Not available,Not available,437,Not available,4362,14539,Exact,"10,001 to 20,000",233%,Not available,Yes,£7.50-£9.99
Claymills Victorian Pumping Station,West Midlands,Staffordshire,Staffordshire,Rural,DE13 0DA,Other Historic Property,Not available,Not available,420,1572,3696,4576,Exact,"10,000 or less",24%,Not available,Yes,Not available
Earls Barton Museum of Local Life,East Midlands,Northamptonshire,North Northamptonshire,Rural,NN6 0NA,Museum and/or Art Gallery,Not available,Not available,400,287,584,868,Exact,"10,000 or less",49%,Not available,No,Not Applicable
Lydia Eva - The Last Steam Drifter,East of England,Norfolk,North Norfolk,Coastal,NR29 5ED,Other Historic Property,Not available,Not available,300,Not available,200,3000,Exact,"10,000 or less",Not available,Not available,No,Not Applicable
Fydell House,East Midlands,Lincolnshire,Boston,Urban,PE21 6HT,Historic House/ House and Garden / Palace,Not available,Not available,250,1000,1000,6000,An Estimate,"10,000 or less",500%,Not available,No,Not Applicable
Wandle Industrial Museum,London,Greater London,Croydon,Urban,CR4 3UD,Museum and/or Art Gallery,Not available,Not available,204,350,400,382,,"10,000 or less",-5%,Not available,No,Not Applicable
Nottingham Ghost Walk,East Midlands,Nottinghamshire,Nottingham,Urban,NG10 2FR,Other Historic / Scenic Transport Operator,Not available,Not available,150,2500,3500,3700,An Estimate,"10,000 or less",6%,Not available,Yes,£7.50-£9.99
Manningtree and District Local History,East of England,Essex,Tendring,Urban,CO11 1AD,Museum and/or Art Gallery,Not available,Not available,80,Not available,800,Not available,An Estimate,Not available,Not available,Not available,No,Not Applicable
Penryn Museum,South West,Cornwall,,Urban,TR10 8HU,Museum and/or Art Gallery,Not available,Not available,43,878,1646,1568,Exact,"10,000 or less",-5%,Not available,No,Not Applicable
Sir Max Aitken Museum,South East,Isle of Wight,Isle of Wight,Coastal,PO31 7AJ,Museum and/or Art Gallery,Not available,Not available,12,959,1860,2282,Exact,"10,000 or less",23%,Not available,No,Not Applicable
Holsworthy Museum,South West,Devon,Torridge,Rural,EX22 6DJ,Museum and/or Art Gallery,Not available,Not available,7,689,1043,1330,Exact,"10,000 or less",28%,Not available,No,Not Applicable
British Museum,London,Greater London,London,Coastal,,Museum,5828552,6239983,1275466,1325971.845,4097253,5820860,,"Over 200,000",42%,-7%,No,Not Applicable
Tate Modern,London,Greater London,London,Coastal,,Museum,5868562,6098340,1431704,1285814.57,3883160,4729444,,"Over 200,000",22%,-22%,No,Not Applicable
National Gallery,London,Greater London,Westminster,Urban,WC2N 5DN,Museum and/or Art Gallery,5735831,6011007,1197143,729735,2727119,3096508,Exact,"Over 200,000",14%,-48%,No,Not Applicable
NHM South Kensington,London,Greater London,London,Urban,,Museum,5226320,5423932,1296763,1572502.703,4812806,5686601,,"Over 200,000",18%,5%,No,Not Applicable
Brighton Pier,South East,East Sussex,Brighton and Hove,Coastal,BN2 1TW,Other,4890680,4901221,Not available,4260485,4632108,4235165,Exact,"Over 200,000",-9%,-14%,No,Not Applicable
V&A South Kensington,London,Greater London,London,Urban,,Museum,3967566,3992198,872240,858790.2174,2359887,3089434,,"Over 200,000",31%,-23%,No,Not Applicable
Science Museum,London,Greater London,Bradford,Urban,,Museum and/or Art Gallery,3174963,3301975,858517,957223,2334930,2956886,Exact,"Over 200,000",27%,-10%,No,Not Applicable
Tower of London,London,Greater London,London,Urban,,Castle / Fort,2858336,2984499,447812,526379,2019868,2791834,Exact,"Over 200,000",38%,-6%,Yes,£15 or Over
Royal Museums Greenwich,London,Greater London,Greenwich,Urban,,Museum,2549833,2906000,Not available,687164.557,1630112,2506962,,"Over 200,000",54%,-14%,No,Not Applicable
Somerset House,London,Greater London,Westminster,Urban,WC2R 1LA,Historic House/ House and Garden / Palace,3143626,2841772,724310,984978,2346580,2727677,Exact,"Over 200,000",16%,-4%,No,Not Applicable
"Royal Botanic Gardens, Kew",London,Greater London,Richmond,Urban,,Garden,1858513,2316699,1212855,1966854,1963885,1974295,,"Over 200,000",1%,-15%,Yes,£15 or over
Chester Zoo,North West,Cheshire,Cheshire West And Chester,Rural,CH2 1LH,Safari Park / Zoo / Aquarium / Aviary,1969768,2086785,1182652,1601327,1835374,1941754,Exact,"Over 200,000",6%,-7%,Yes,£15 or Over
Tate Britain,London,Greater London,London,Urban,,Museum,1272523,1808637,396000,524939.6552,913395,1091218,,"Over 200,000",19%,-40%,No,Not Applicable
St Paul's Cathedral,London,Greater London,City of London,Urban,EC4M 8AD,Place of Worship (still in use),1657446,1716417,260622,278413,1193888,1499575,Exact,"Over 200,000",26%,-13%,Yes,£15 or Over
National Portrait Gallery,London,Greater London,Westminster,Rural,,Museum and/or Art Gallery,1586451,1619694,313731,4543,0,1164018,,"Over 200,000",Not available,-28%,No,Not Applicable
Windermere Lake Cruises,North West,Cumbria,South Lakeland,Rural,LA23 3HE,Other Historic / Scenic Transport Operator,1634654,1613785,419574,1065707,1303609,1319696,Exact,"Over 200,000",1%,-18%,Yes,£10.00-£14.99
Stonehenge,South West,Wiltshire,Salisbury,Rural,,Historic Monument / Archaeological Site,1555868,1604248,314999,334087,977316,1327423,Exact,"Over 200,000",36%,-17%,Yes,£15 or Over
Westminster Abbey,London,Greater London,London,Urban,,Place of Worship (still in use),1546017,1574401,221772,163296.9278,1062909,1587866,,"Over 200,000",49%,1%,Yes,£15 or Over
British Library,London,Greater London,London,Rural,,Museum and/or Art Gallery,1437839,1534860,334070,411853.0466,1149070,1390378,,"Over 200,000",21%,-9%,No,Not Applicable
Roman Baths,South West,Somerset,Bath and North East Somerset,Urban,BA1 1LZ,Historic Monument / Archaeological Site,1302381,1325085,316436,352005.7851,851854,991437,Exact,"Over 200,000",16%,-25%,Yes,£15 or Over
Old Royal Naval College,London,Greater London,Greenwich,Coastal,,Other Historic Property,1101426,1264683,201554,267850,731344,843175,,"Over 200,000",15%,-33%,Yes,£15 or Over
Canterbury Cathedral,South East,Kent,Canterbury,Rural,,Place of Worship (still in use),893469,1241030,159737,336443.2927,551767,565213,,"Over 200,000",2%,-54%,Yes,£15 or Over
RHS Garden Wisley,South East,Surrey,WOKING,Rural,,Garden,1052798,1236434,993516,1410102.83,1439829,1306664,An Estimate,"Over 200,000",-9%,6%,Yes,£15 or Over
The Abbey Gardens & Abbey Ruins,East of England,Suffolk ,Bury St Edmunds,Urban,,Historic Monument / Archaeological Site,1147447,1228564,Not available,1276864,1362874,1345058,Exact,"Over 200,000",-1%,9%,No,Not Applicable
ZSL London Zoo,London,Greater London,Westminster,Urban,NW1 4RY,Safari Park / Zoo / Aquarium / Aviary,1133952,1157076,504351,692244.3709,1045289,1327902,An Estimate,"Over 200,000",27%,15%,Yes,£15 or Over
Imperial War Museum London,London,Greater London,London,Urban,,Museum and/or Art Gallery,1061798,1073936,278797,320542,684909,841575,Exact,"Over 200,000",23%,-22%,No,Not Applicable
Hampton Court Palace,London,Greater London,East Molesey,Urban,,Historic House/ House and Garden / Palace,1113166,1072823,227447,376107,527590,631048,Exact,"Over 200,000",20%,-41%,Yes,£15 or Over
UK Parliament,London,Greater London,Westminster,Urban,,Other Historic Property,1075550,1063501,203000,Not available,140585,189481,,"100,001-200,000",35%,-82%,Yes,£15 or Over
Longleat,South West,Wiltshire,Warminster,Rural,,Safari Park / Zoo / Aquarium / Aviary,904714,1011314,495037,701950.8621,814263,800056,,"Over 200,000",-2%,-21%,Yes,£15 or Over
Midlands Arts Centre (MAC),West Midlands,West Midlands,Birmingham,Urban,B12 9QH,Other,1011351,993108,142403,306268,804236,853355,Exact,"Over 200,000",6%,-14%,No,Not Applicable
Blenheim Palace,South East,Oxfordshire,Woodstock,Urban,,Historic House/ House and Garden / Palace,906885,984913,416494,597634.0741,821585,945412,,"Over 200,000",15%,-4%,Yes,£15 or Over
Museum of Liverpool,North West,Merseyside,Liverpool,Urban,,Museum and/or Art Gallery,962009,956918,214995,251186,605926,694953,Exact,"Over 200,000",15%,-27%,No,Not Applicable
The Horniman Public Museum & Public Park Trust,London,Greater London,Lewisham,Urban,SE23 3PQ,Museum and/or Art Gallery,926849,952954,606329,653200,790067,924480,Exact,"Over 200,000",17%,-3%,No,Not Applicable
Ashmolean Museum,South East,Oxfordshire,Oxford,Urban,,Museum and/or Art Gallery,882494,930669,239134,212306,728183,900277,An Estimate,"Over 200,000",24%,-3%,No,Not Applicable
Tower Bridge,London,Greater London,Southwark,Urban,SE1 2UP,Heritage / Visitor Centre,836654,889338,167247,182284,648001,960670,Exact,"Over 200,000",48%,8%,Yes,£10.00-£14.99
